Title,Brand,Model,YOM,Engine (cc),Gear,Fuel Type,Millage(KM),Town,Date,Leasing,Condition,AIR CONDITION,POWER STEERING,POWER MIRROR,POWER WINDOW,Price,ScrapeDate,SourceURL
Toyota Roomy Custom G 2023 Car,Toyota,Roomy,2023,,,,,,2025-11-24,No,,No,No,No,No,9950000,2025-11-24,https://riyasewana.com/buy/toyota-roomy-custom-sale-kurunegala-10809704
Toyota Corolla K50 1978 Car,Toyota,Corolla,2025,,,,,,2025-11-24,No,,No,No,No,No,475000,2025-11-24,https://riyasewana.com/buy/toyota-corolla-k50-sale-hambantota-10809645
Mercedes-Benz C200 AMG 2024 Car,Mercedes,C200,2024,,,,,Mercedes,2025-11-24,No,,No,No,No,No,38000000,2025-11-24,https://riyasewana.com/buy/mercedes-benz-c200-amg-sale-colombo-10809629
Mitsubishi Lancer 1985 Car,Mitsubishi,Lancer,2025,,,,,,2025-11-24,No,,No,No,No,No,700000,2025-11-24,https://riyasewana.com/buy/mitsubishi-lancer-sale-gampaha-10809623
Daihatsu Mira X Grade LED Lights 2025 Car,Daihatsu,Mira,2025,,,,,,2025-11-22,No,,No,No,No,No,6650000,2025-11-24,https://riyasewana.com/buy/daihatsu-mira-x-sale-gampaha-10801987
Suzuki Wagon R Fx Hybrid 2025 Car,Suzuki,Wagon,2025,,,Hybrid,,,2025-11-24,No,,No,No,No,No,7690000,2025-11-24,https://riyasewana.com/buy/suzuki-wagon-r-sale-kurunegala-10809607
BMW 218i Play 2023 Car,Bmw,218i,2023,,,,,,2025-11-24,No,,No,No,No,No,23500000,2025-11-24,https://riyasewana.com/buy/bmw-218i-play-sale-colombo-10809602
Daihatsu Mira L Safety 2024 Car,Daihatsu,Mira,2024,,,,,,2025-11-24,No,,No,No,No,No,6625000,2025-11-24,https://riyasewana.com/buy/daihatsu-mira-l-sale-maharagama-10809562
Suzuki Alto 2023 Car,Suzuki,Alto,2023,,,,,,2025-11-24,No,,No,No,No,No,6000000,2025-11-24,https://riyasewana.com/buy/suzuki-alto-sale-kurunegala-10809518
Toyota ROOMY Custom G 2025 Car,Toyota,ROOMY,2025,,,,,,2025-11-24,No,,No,No,No,No,11450000,2025-11-24,https://riyasewana.com/buy/toyota-roomy-custom-sale-kaduwela-10809509
Toyota Pixis G Grade 2024 Car,Toyota,Pixis,2024,,,,,,2025-11-24,No,,No,No,No,No,7950000,2025-11-24,https://riyasewana.com/buy/toyota-pixis-g-sale-piliyandala-10809495
Nissan Sunny B310 B11 1982 Car,Nissan,Sunny,2025,,,,,,2025-11-24,No,,No,No,No,No,750000,2025-11-24,https://riyasewana.com/buy/nissan-sunny-b310-sale-kurunegala-10809490
Toyota DX Wagon 1987 Car,Toyota,DX,2025,,,,,,2025-11-24,No,,No,No,No,No,950000,2025-11-24,https://riyasewana.com/buy/toyota-dx-wagon-sale-kurunegala-10809476
Honda N BOX 2022 Car,Honda,N,2022,,,,,,2025-11-24,No,,No,No,No,No,7650000,2025-11-24,https://riyasewana.com/buy/honda-n-box-sale-kadawatha-10809468
Daihatsu Mira X LTD LED 2024 Car,Daihatsu,Mira,2024,,,,,,2025-11-21,No,,No,No,No,No,7450000,2025-11-24,https://riyasewana.com/buy/daihatsu-mira-x-sale-boralesgamuwa-10794332
Toyota Yaris 2023 Car,Toyota,Yaris,2023,,,,,,2025-11-23,No,,No,No,No,No,9300000,2025-11-24,https://riyasewana.com/buy/toyota-yaris-sale-galle-10807617
